Material,Su,Sy,E,G,mu,Ro,Use
ANSI Steel SAE 1015 as-rolled,421,314,207000,79000,0.3,7860,True
ANSI Steel SAE 1015 normalized,424,324,207000,79000,0.3,7860,True
ANSI Steel SAE 1015 annealed,386,284,207000,79000,0.3,7860,True
ANSI Steel SAE 1020 as-rolled,448,331,207000,79000,0.3,7860,True
ANSI Steel SAE 1020 normalized,441,346,207000,79000,0.3,7860,True
ANSI Steel SAE 1020 annealed,395,295,207000,79000,0.3,7860,True
ANSI Steel SAE 1022 as-rolled,503,359,207000,79000,0.3,7860,True
ANSI Steel SAE 1022 normalized,483,359,207000,79000,0.3,7860,True
ANSI Steel SAE 1022 annealed,450,317,207000,79000,0.3,7860,True
ANSI Steel SAE 1030 as-rolled,552,345,207000,79000,0.3,7860,False
ANSI Steel SAE 1030 normalized,517,345,207000,79000,0.3,7860,False
ANSI Steel SAE 1030 annealed,464,341,207000,79000,0.3,7860,True
ANSI Steel SAE 1030 tempered at 400 F,848,648,207000,79000,0.3,7860,False
ANSI Steel SAE 1040 as-rolled,621,414,207000,79000,0.3,7860,False
ANSI Steel SAE 1040 normalized,590,374,207000,79000,0.3,7860,False
ANSI Steel SAE 1040 annealed,519,353,207000,79000,0.3,7860,False
ANSI Steel SAE 1040 tempered at 400 F,779,593,207000,79000,0.3,7860,False
ANSI Steel SAE 1050 as-rolled,724,414,207000,79000,0.3,7860,False
ANSI Steel SAE 1050 normalized,748,427,207000,79000,0.3,7860,False
ANSI Steel SAE 1050 annealed,636,365,207000,79000,0.3,7860,False
ANSI Steel SAE 1050 tempered at 600 F,979,724,207000,79000,0.3,7860,False
ANSI Steel SAE 1060 as-rolled,814,483,207000,79000,0.3,7860,False
ANSI Steel SAE 1060 normalized,776,421,207000,79000,0.3,7860,False
ANSI Steel SAE 1060 annealed,626,372,207000,79000,0.3,7860,False
ANSI Steel SAE 1060 tempered at 600 F,1103,779,207000,79000,0.3,7860,False
ANSI Steel SAE 1080 as-rolled,965,586,207000,79000,0.3,7860,False
ANSI Steel SAE 1080 normalized,1010,524,207000,79000,0.3,7860,False
ANSI Steel SAE 1080 annealed,615,376,207000,79000,0.3,7860,False
ANSI Steel SAE 1080 tempered at 600 F,1303,979,207000,79000,0.3,7860,False
ANSI Steel SAE 1095 as-rolled,965,572,207000,79000,0.3,7860,False
ANSI Steel SAE 1095 normalized,1014,500,207000,79000,0.3,7860,False
ANSI Steel SAE 1095 annealed,657,379,207000,79000,0.3,7860,False
ANSI Steel SAE 1095 tempered at 400 F,1289,827,207000,79000,0.3,7860,False
ANSI Steel SAE 1117 as-rolled,487,305,207000,79000,0.3,7860,True
ANSI Steel SAE 1117 normalized,467,303,207000,79000,0.3,7860,True
ANSI Steel SAE 1117 annealed,429,279,207000,79000,0.3,7860,True
ANSI Steel SAE 1118 as-rolled,521,316,207000,79000,0.3,7860,False
ANSI Steel SAE 1118 normalized,477,319,207000,79000,0.3,7860,True
ANSI Steel SAE 1118 annealed,450,284,207000,79000,0.3,7860,True
ANSI Steel SAE 1137 as-rolled,627,379,207000,79000,0.3,7860,False
ANSI Steel SAE 1137 normalized,669,396,207000,79000,0.3,7860,False
ANSI Steel SAE 1137 annealed,584,345,207000,79000,0.3,7860,False
ANSI Steel SAE 1137 tempered at 400 F,1082,938,207000,79000,0.3,7860,False
ANSI Steel SAE 1141 as-rolled,676,359,207000,79000,0.3,7860,False
ANSI Steel SAE 1141 normalized,707,405,207000,79000,0.3,7860,False
ANSI Steel SAE 1141 annealed,598,353,207000,79000,0.3,7860,False
ANSI Steel SAE 1141 tempered at 400 F,1634,1213,207000,79000,0.3,7860,False
ANSI Steel SAE 1144 as-rolled,703,421,207000,79000,0.3,7860,False
ANSI Steel SAE 1144 normalized,667,400,207000,79000,0.3,7860,False
ANSI Steel SAE 1144 annealed,584,346,207000,79000,0.3,7860,False
ANSI Steel SAE 1144 tempered at 400 F,876,627,207000,79000,0.3,7860,False
ANSI Steel SAE 1340 normalized,836,558,207000,79000,0.3,7860,False
ANSI Steel SAE 1340 annealed,703,436,207000,79000,0.3,7860,False
ANSI Steel SAE 1340 tempered at 400 F,1806,1593,207000,79000,0.3,7860,False
ANSI Steel SAE 3140 normalized,891,600,207000,79000,0.3,7860,False
ANSI Steel SAE 3140 annealed,689,422,207000,79000,0.3,7860,False
ANSI Steel SAE 4037 tempered at 400 F,1027,758,207000,79000,0.3,7860,False
ANSI Steel SAE 4042 tempered at 400 F,1800,1662,207000,79000,0.3,7860,False
ANSI Steel SAE 4130 normalized,669,436,207000,79000,0.3,7860,False
ANSI Steel SAE 4130 annealed,560,360,207000,79000,0.3,7860,False
ANSI Steel SAE 4130 tempered at 400 F,1627,1462,207000,79000,0.3,7860,False
ANSI Steel SAE 4140 normalized,1020,655,207000,79000,0.3,7860,False
ANSI Steel SAE 4140 annealed,655,417,207000,79000,0.3,7860,False
ANSI Steel SAE 4140 tempered at 400 F,1772,1641,207000,79000,0.3,7860,False
ANSI Steel SAE 4150 normalized,1155,734,207000,79000,0.3,7860,False
ANSI Steel SAE 4150 annealed,729,379,207000,79000,0.3,7860,False
ANSI Steel SAE 4150 tempered at 400 F,1931,1724,207000,79000,0.3,7860,False
ANSI Steel SAE 4320 normalized,793,464,207000,79000,0.3,7860,False
ANSI Steel SAE 4320 annealed,579,425,207000,79000,0.3,7860,False
ANSI Steel SAE 4340 normalized,1279,862,207000,79000,0.3,7860,False
ANSI Steel SAE 4340 annealed,745,472,207000,79000,0.3,7860,False
ANSI Steel SAE 4340 tempered at 400 F,1875,1675,207000,79000,0.3,7860,False
ANSI Steel SAE 4620 normalized,574,366,207000,79000,0.3,7860,False
ANSI Steel SAE 4620 annealed,512,372,207000,79000,0.3,7860,False
ANSI Steel SAE 4820 normalized,755,484,207000,79000,0.3,7860,False
ANSI Steel SAE 4820 annealed,681,464,207000,79000,0.3,7860,False
ANSI Steel SAE 5046 tempered at 400 F,1744,1407,207000,79000,0.3,7860,False
ANSI Steel SAE 5130 tempered at 400 F,1613,1517,207000,79000,0.3,7860,False
ANSI Steel SAE 5140 normalized,793,472,207000,79000,0.3,7860,False
ANSI Steel SAE 5140 annealed,572,293,207000,79000,0.3,7860,False
ANSI Steel SAE 5140 tempered at 400 F,1793,1641,207000,79000,0.3,7860,False
ANSI Steel SAE 5150 normalized,870,529,207000,79000,0.3,7860,False
ANSI Steel SAE 5150 annealed,676,357,207000,79000,0.3,7860,False
ANSI Steel SAE 5150 tempered at 400 F,1944,1731,207000,79000,0.3,7860,False
ANSI Steel SAE 5160 normalized,957,531,207000,79000,0.3,7860,False
ANSI Steel SAE 5160 annealed,722,276,207000,79000,0.3,7860,False
ANSI Steel SAE 5160 tempered at 400 F,2220,1793,207000,79000,0.3,7860,False
ANSI Steel SAE 6150 normalized,939,615,207000,79000,0.3,7860,False
ANSI Steel SAE 6150 annealed,667,412,207000,79000,0.3,7860,False
ANSI Steel SAE 6150 tempered at 400 F,1931,1689,207000,79000,0.3,7860,False
ANSI Steel SAE 8620 normalized,633,357,207000,79000,0.3,7860,False
ANSI Steel SAE 8620 annealed,536,385,207000,79000,0.3,7860,False
ANSI Steel SAE 8630 normalized,650,429,207000,79000,0.3,7860,False
ANSI Steel SAE 8630 annealed,564,372,207000,79000,0.3,7860,False
ANSI Steel SAE 8630 tempered at 400 F,1641,1503,207000,79000,0.3,7860,False
ANSI Steel SAE 8640 tempered at 400 F,1862,1669,207000,79000,0.3,7860,False
ANSI Steel SAE 8650 normalized,1024,688,207000,79000,0.3,7860,False
ANSI Steel SAE 8650 annealed,715,386,207000,79000,0.3,7860,False
ANSI Steel SAE 8650 tempered at 400 F,1937,1675,207000,79000,0.3,7860,False
ANSI Steel SAE 8660 tempered at 800 F,1634,1551,207000,79000,0.3,7860,False
ANSI Steel SAE 8740 normalized,929,607,207000,79000,0.3,7860,False
ANSI Steel SAE 8740 annealed,695,415,207000,79000,0.3,7860,False
ANSI Steel SAE 8740 tempered at 400 F,1999,1655,207000,79000,0.3,7860,False
ANSI Steel SAE 9255 normalized,933,579,207000,79000,0.3,7860,False
ANSI Steel SAE 9255 annealed,774,486,207000,79000,0.3,7860,False
ANSI Steel SAE 9255 tempered at 400 F,2103,2048,207000,79000,0.3,7860,False
ANSI Steel SAE 9260 tempered at 800 F,1758,1503,207000,79000,0.3,7860,False
